,postal_code,school_name,address,mainlevel_code,Latitude,Longitude
1,88256,CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,PRIMARY,1.2758142,103.8398884
2,99757,CHIJ (KELLOCK),1    Bukit Teresa Road,PRIMARY,1.274664,103.8280551
3,99840,RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,PRIMARY,1.2750442,103.8240239
4,109100,BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,PRIMARY,1.276120479,103.8086285
5,128104,QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,PRIMARY,1.313265833,103.7566291
6,128806,NAN HUA PRIMARY SCHOOL,30   Jalan Lempeng,PRIMARY,1.3192016,103.7610951
7,129857,PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,PRIMARY,1.316528629,103.7676823
8,129903,CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,PRIMARY,1.315057313,103.7629667
9,139648,FAIRFIELD METHODIST SCHOOL (PRIMARY),100  DOVER ROAD,PRIMARY,1.300540825,103.7854383
10,148812,NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,PRIMARY,1.299811389,103.7999648
11,149303,QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,PRIMARY,1.295529056,103.8076485
12,158901,GAN ENG SENG PRIMARY SCHOOL,100  REDHILL CLOSE,PRIMARY,1.285595165,103.8155474
13,159016,ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,PRIMARY,1.291169656,103.8240174
14,169485,ZHANGDE PRIMARY SCHOOL,51   Jalan Membina,PRIMARY,1.284211539,103.8259519
15,198423,STAMFORD PRIMARY SCHOOL,1    VICTORIA LANE,PRIMARY,1.303859599,103.8569551
16,217567,FARRER PARK PRIMARY SCHOOL,2    FARRER PARK ROAD,PRIMARY,1.311939502,103.8505445
17,227988,ANGLO-CHINESE SCHOOL (JUNIOR),16   WINSTEDT ROAD,PRIMARY,1.309322527,103.8415521
18,237993,RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,PRIMARY,1.294183478,103.8360189
19,268097,NANYANG PRIMARY SCHOOL,52   KING'S ROAD,PRIMARY,1.320847499,103.8077502
20,278790,HENRY PARK PRIMARY SCHOOL,1    HOLLAND GROVE ROAD,PRIMARY,1.316676462,103.7842962
21,289072,RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,PRIMARY,1.330041781,103.8063978
22,297754,MARYMOUNT CONVENT SCHOOL,20   Marymount Road,PRIMARY,1.340438407,103.8398117
23,309331,ST. JOSEPH'S INSTITUTION JUNIOR,3    ESSEX ROAD,PRIMARY,1.317814761,103.8456333
24,309437,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190  DUNEARN ROAD,PRIMARY,1.320634084,103.828165
25,309918,ANGLO-CHINESE SCHOOL (PRIMARY),50   BARKER ROAD,PRIMARY,1.318718606,103.8353452
26,319252,FIRST TOA PAYOH PRIMARY SCHOOL,7    LORONG 8 TOA PAYOH,PRIMARY,1.340142741,103.8561755
27,319320,PEI CHUN PUBLIC SCHOOL,16   LORONG 7 TOA PAYOH,PRIMARY,1.336778644,103.8553413
28,319580,KHENG CHENG SCHOOL,15   LORONG 3 TOA PAYOH,PRIMARY,1.337338194,103.8471485
29,319765,CHIJ PRIMARY (TOA PAYOH),628  Lorong 1 Toa Payoh,PRIMARY,1.332752647,103.8418473
30,327829,HONG WEN SCHOOL,30   TOWNER ROAD,PRIMARY,1.32176,103.8576285
31,329927,BALESTIER HILL PRIMARY SCHOOL,565 BALESTIER ROAD,PRIMARY,1.325830851,103.844215
32,339948,BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,PRIMARY,1.321812508,103.8654042
33,349700,CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,PRIMARY,1.335660844,103.8756201
34,359337,ST. ANDREW'S JUNIOR SCHOOL,2    FRANCIS THOMAS DRIVE,PRIMARY,1.331402553,103.8651171
35,368051,MARIS STELLA HIGH SCHOOL,25   MOUNT VERNON ROAD,MIXED LEVELS,1.341394734,103.8778525
36,387621,CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,PRIMARY,1.32685352,103.8810021
37,387724,ST. MARGARET'S PRIMARY SCHOOL,2    Mattar Road,PRIMARY,1.324391503,103.8816248
38,387724,MACPHERSON PRIMARY SCHOOL,2 MATTAR ROAD,PRIMARY,1.324391503,103.8816248
39,389706,GEYLANG METHODIST SCHOOL (PRIMARY),4    Geylang East Central,PRIMARY,1.317591268,103.8838457
40,399772,KONG HWA SCHOOL,350  GUILLEMARD ROAD,PRIMARY,1.310941938,103.8882593
41,408931,MAHA BODHI SCHOOL,10   UBI AVENUE 1,PRIMARY,1.328470867,103.9012987
42,419529,EUNOS PRIMARY SCHOOL,95   JALAN EUNOS,PRIMARY,1.324388363,103.9043748
43,424821,CHIJ (KATONG) PRIMARY,17   MARTIA ROAD,PRIMARY,1.306649654,103.9111049
44,427072,HAIG GIRLS' SCHOOL,51   Koon Seng Road,PRIMARY,1.311943443,103.9029026
45,437259,TANJONG KATONG PRIMARY SCHOOL,10   Seraya Road,PRIMARY,1.30498489,103.9
46,449149,NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,PRIMARY,1.305532242,103.91757
47,449761,TAO NAN SCHOOL,49   MARINE CRESCENT,PRIMARY,1.305285287,103.9115532
48,455789,ST. STEPHEN'S SCHOOL,20   SIGLAP VIEW,PRIMARY,1.318789973,103.9172581
49,458436,OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,PRIMARY,1.319968764,103.9237527
50,469031,EAST COAST PRIMARY SCHOOL,8 CHAI CHEE AVENUE,PRIMARY,1.329101365,103.9198874
51,469300,TEMASEK PRIMARY SCHOOL,501  BEDOK SOUTH AVE 3,PRIMARY,1.317203417,103.9457594
52,469317,BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,PRIMARY,1.323445933,103.937879
53,469623,YU NENG PRIMARY SCHOOL,56   BEDOK NORTH ST 3,PRIMARY,1.333980379,103.932015
54,469680,FENGSHAN PRIMARY SCHOOL,307  BEDOK NORTH ROAD,PRIMARY,1.329701847,103.9320051
55,469701,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,PRIMARY,1.334725373,103.9412349
56,469719,RED SWASTIKA SCHOOL,350  BEDOK NORTH AVENUE 3,PRIMARY,1.334056596,103.9343175
57,479226,DAMAI PRIMARY SCHOOL,52   BEDOK RESERVOIR CRESCENT,PRIMARY,1.335246028,103.9212864
58,479239,TELOK KURAU PRIMARY SCHOOL,50   BEDOK RESERVOIR RD,PRIMARY,1.33109611,103.9110053
59,518798,MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,PRIMARY,1.375528317,103.9348891
60,518866,ELIAS PARK PRIMARY SCHOOL,11   PASIR RIS STREET 52,PRIMARY,1.375056963,103.9452894
61,518902,CORAL PRIMARY SCHOOL,20 PASIR RIS STREET 51,PRIMARY,1.368425771,103.9506486
62,518935,CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,PRIMARY,1.373107734,103.9571123
63,518968,PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,PRIMARY,1.372451327,103.9629227
64,519075,WHITE SANDS PRIMARY SCHOOL,2    PASIR RIS ST 11,PRIMARY,1.365636109,103.9608618
65,519419,LOYANG PRIMARY SCHOOL,3 PASIR RIS DRIVE 6,PRIMARY,1.370916998,103.9558495
66,519524,PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,PRIMARY,1.378016876,103.9392022
67,528906,JUNYUAN PRIMARY SCHOOL,2    Tampines Street 91,PRIMARY,1.348052839,103.9390268
68,528907,EAST VIEW PRIMARY SCHOOL,4 TAMPINES STREET 91,PRIMARY,1.346893982,103.93965
