school_name,address,postal_code,mainlevel_code,,City,Country
ADMIRALTY SECONDARY SCHOOL,31   WOODLANDS CRESCENT,737916,SECONDARY,,Singapore,Singapore
AHMAD IBRAHIM SECONDARY SCHOOL,751  YISHUN AVENUE 7,768928,SECONDARY,,Singapore,Singapore
ANDERSON SECONDARY SCHOOL,10   ANG MO KIO STREET 53,569206,SECONDARY,,Singapore,Singapore
ANG MO KIO SECONDARY SCHOOL,6    ANG MO KIO STREET 22,569362,SECONDARY,,Singapore,Singapore
ANGLICAN HIGH SCHOOL,600  UPPER CHANGI ROAD,487012,SECONDARY,,Singapore,Singapore
ANGLO-CHINESE SCHOOL (BARKER ROAD),60   BARKER ROAD,309919,SECONDARY,,Singapore,Singapore
ANGLO-CHINESE SCHOOL (INDEPENDENT),121  DOVER ROAD,139650,MIXED LEVELS,,Singapore,Singapore
ASSUMPTION ENGLISH SCHOOL,622  UPPER BUKIT TIMAH ROAD,678117,SECONDARY,,Singapore,Singapore
ASSUMPTION PATHWAY SCHOOL,30   Cashew Road,679697,SECONDARY,,Singapore,Singapore
BARTLEY SECONDARY SCHOOL,10   JALAN BUNGA RAMPAI,538403,SECONDARY,,Singapore,Singapore
BEATTY SECONDARY SCHOOL,1    TOA PAYOH NORTH,318990,SECONDARY,,Singapore,Singapore
BEDOK GREEN SECONDARY SCHOOL,360  BEDOK NORTH AVE 3,469722,SECONDARY,,Singapore,Singapore
BEDOK SOUTH SECONDARY SCHOOL,1    JALAN LANGGAR BEDOK,468585,SECONDARY,,Singapore,Singapore
BEDOK VIEW SECONDARY SCHOOL,6    BEDOK SOUTH AVENUE 3,469293,SECONDARY,,Singapore,Singapore
BENDEMEER SECONDARY SCHOOL,1    ST WILFRED ROAD,327919,SECONDARY,,Singapore,Singapore
BOON LAY SECONDARY SCHOOL,11   JURONG WEST STREET 65,648354,SECONDARY,,Singapore,Singapore
BOWEN SECONDARY SCHOOL,2    LORONG NAPIRI,547529,SECONDARY,,Singapore,Singapore
BROADRICK SECONDARY SCHOOL,61   DAKOTA CRESCENT,399935,SECONDARY,,Singapore,Singapore
BUKIT BATOK SECONDARY SCHOOL,50   BUKIT BATOK WEST AVE 8,658962,SECONDARY,,Singapore,Singapore
BUKIT MERAH SECONDARY SCHOOL,10   LENGKOK BAHRU,159050,SECONDARY,,Singapore,Singapore
BUKIT PANJANG GOVT. HIGH SCHOOL,7    CHOA CHU KANG AVE 4,689809,SECONDARY,,Singapore,Singapore
BUKIT VIEW SECONDARY SCHOOL,16   BUKIT BATOK STREET 21,659633,SECONDARY,,Singapore,Singapore
CANBERRA SECONDARY SCHOOL,51   SEMBAWANG DRIVE,757699,SECONDARY,,Singapore,Singapore
